TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
42524,main,backup,backup,1,542.175415,1.000789,0.976385,1.165382,0.998033,18.823883,18.583059,18.841808,18.685874,0.020153
42525,main,backup,backup,1,574.655640,1.005261,1.204462,1.258250,0.952290,18.977809,18.905900,19.018563,18.891745,0.013776
42526,main,backup,backup,2,691.716164,1.050436,0.822789,0.779279,0.722489,19.311020,19.851147,19.242862,18.365210,0.016820
42527,main,backup,backup,1,605.536316,1.043021,0.818567,0.719274,0.710400,18.488221,18.890424,18.481666,17.884817,0.016897
42528,main,backup,backup,1,127.837395,1.031766,0.878780,0.841625,1.049553,21.093357,21.988763,20.819861,19.281365,0.012538
42529,main,backup,backup,1,307.870117,1.000547,1.064763,0.862149,1.037106,18.616307,18.504630,18.543941,18.270395,0.009481
42530,main,backup,backup,1,558.886047,1.000694,1.019211,1.059392,0.948257,18.706813,18.826693,18.896612,18.647763,0.014439
42531,main,backup,backup,3,1817.999390,1.021022,1.476775,1.346712,0.642656,18.409534,18.678795,18.409102,17.968087,0.010901
42532,main,backup,backup,3,1317.607330,1.022558,1.627547,1.818793,0.924553,19.277591,19.140307,19.269058,18.858692,0.009496
42533,main,backup,backup,1,541.504944,1.007976,1.257638,1.051718,1.117535,18.928294,18.813943,18.947022,18.745181,0.018377
42534,main,backup,backup,2,734.703094,1.006478,1.906575,1.848504,0.929295,20.930488,21.272533,20.761127,19.428090,0.017006
42535,main,backup,backup,1,602.677002,1.007421,1.081319,1.096378,0.933777,18.392604,18.718621,18.705481,18.459126,0.018773
42536,main,backup,backup,1,114.311485,1.021311,0.787595,0.822433,1.173686,21.208542,22.089892,20.812945,19.295643,0.014985
42537,main,backup,backup,1,265.662140,1.057215,1.260635,1.246455,1.188064,20.178969,20.470585,20.138972,19.145282,0.011097
42538,main,backup,backup,1,436.642181,1.004608,0.852226,0.919781,0.936167,18.657730,18.799389,18.757518,18.418415,0.014567
42539,main,backup,backup,1,523.572632,1.012165,1.136609,1.063292,1.008199,18.864946,18.820747,18.913489,18.660475,0.023484
42541,main,backup,backup,1,607.951416,1.043108,1.352369,1.146514,0.477620,19.673424,20.345842,19.671438,18.759705,0.009602
42542,main,backup,backup,3,1556.340820,1.018955,1.914604,1.839222,0.706302,20.205420,20.761439,20.176511,18.871094,0.020151
42544,main,backup,backup,1,567.324036,1.015222,1.243884,1.136186,0.949303,18.649501,18.788164,18.820624,18.727009,0.030625
42545,main,backup,backup,1,601.729248,1.068634,1.069166,1.094475,0.737812,19.250639,19.659699,19.241107,18.708566,0.016241
42546,main,backup,backup,1,297.488281,1.014682,0.849145,0.888231,1.022185,18.966912,18.916110,18.940287,18.639325,0.013323
42547,main,backup,backup,1,601.888550,1.000455,1.089076,1.123270,0.997899,19.032120,18.885206,19.032168,18.781640,0.013181
42552,main,backup,backup,1,604.073975,1.104785,2.070570,1.561959,1.082601,19.132181,19.023752,19.124547,18.201671,0.106975
42553,main,backup,backup,2,1208.612915,1.068712,1.650340,2.105863,1.006354,19.971255,20.268089,19.901474,18.742323,0.056224
42558,main,backup,backup,2,847.294159,1.095742,1.352255,1.417847,0.779933,19.829778,20.272558,19.766999,18.526496,0.066119
42559,main,backup,backup,2,1132.704285,1.114910,1.861378,2.037151,1.027227,19.865625,20.294493,19.821560,18.651792,0.078911
42560,main,backup,backup,3,1284.471748,1.147036,1.817555,1.869573,0.989710,19.970119,20.482081,19.915092,18.630680,0.059243
42561,main,backup,backup,1,577.314331,1.134385,1.647939,1.616847,1.053155,19.851707,20.028950,19.803871,18.630281,0.061234
42562,main,backup,backup,2,767.696167,1.164672,0.928828,0.894376,0.612732,20.742369,21.474106,20.549640,19.184159,0.041815
42565,main,backup,backup,1,501.573425,1.031027,1.101798,1.034054,0.451029,21.033151,21.727297,20.741996,19.354799,0.062364
42566,main,backup,backup,3,1490.017944,1.072282,1.137965,1.185374,0.867098,18.371973,18.604779,18.324329,17.830690,0.079495
42568,main,backup,backup,1,605.151184,1.101172,1.757349,1.694131,1.015618,19.016896,18.831040,18.998570,18.618246,0.053443
